id,title,fileName,File Type,externalUrl,sequence,Privacy Controls,canMarket,sfw,caption,price,bowAgreements,benefitting,year,medium,materials,dimensions,location,geo,genre,subset,references,languages,credits,pressLink,distributor,techSpecs,tags,createdAt,updatedAt,userId
33,Bedtwerk,Juniper_Juicy_Bedtwerk.mp4,Video,https://vimeo.com/514146109/09ba35474e,9,2,TRUE,FALSE,Just showing off our natural talent& biggest ASSet ~ ,,TRUE,,2020,"Videography,dance",,1:03 long,,,,,,English & Swahili,Song 5 Fingers by K W A M E & Sho Madjozi,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,7
34,Vday Treat,Juniper_Juicy_Vdaytreat.JPG,Image,,4,1,TRUE,TRUE,"Love cums in many forms, do u dare explore what we offer?~ ",,TRUE,,2019,photography,,N/A,,,,,,English,Shot by 1000EyesPhotography,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,7
35,Performance ,Juniper_Juicy_Performance.mp4,Video,https://vimeo.com/514145983/4830b071f5,5,1,TRUE,TRUE,"Once upon a time, we performed live in bars ~ This is just a smalll snippet of that past life~",,TRUE,,2019,drag,,36 secs long,,,,,,English,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,7
36,MUDSKY 02,Laur_MUDSKY02.png,Image,,1,1,TRUE,TRUE,NIGHT OF THE HUNTER IS DEAD,300,TRUE,,2020,MUD ON PAPER,MUD ON PAPER,9 x 11 IN,IN THE WOODS,,,,,,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,8
37,RED LAYLA ,Laur_REDLAYLA.png,Image,,3,1,TRUE,TRUE,NOT A GHOST ,2000,TRUE,,2020,RED SPRAYPAINT ON VELLUM,RED SPRAYPAINT ON VELLUM ,36 x 74 IN,BY THE LAKE,,,,,,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,8
38,COLD KIL NIGHT 03,Laur_COLDKILNIGHT03.mov,Video,https://vimeo.com/514145233/518d3041c3,6,1,TRUE,TRUE,FELL FROM THEIR BODY ,,TRUE,,2020,VIDEO,VIDEO,WEB VERSION 640 X360,TAKEN BY THE KIL ,,,,,,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,8
39,URSULA,Laur_URSULA.png,Image,,7,1,TRUE,TRUE,URSULA EVICTION PERFORMANCE AFTERMATH,,TRUE,,2020,"FISHNETS,PAINT,MUD,BLOOD,SHOE GREASE,WAX,CLAY,RAZORS,FLOWERS AND CHARCOAL ON CANVAS STRETCHED ON PLYWOOD","FISHNETS, PAINT, MUD, BLOOD, SHOE GREASE, WAX, CLAY, RAZORS, FLOWERS AND CHARCOAL ON CANVAS STRETCHED ON PLYWOOD",4FT X 8 FT,ON THIN ICE,,,,,,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,8
40,TREE,Laur_TREE.png,Image,,4,1,TRUE,TRUE,INSIDE OF A CUT DOWN TREE,666,TRUE,,2020,FIRE PIT COALS AND RAIN ON PAPER,FIRE PIT COALS AND RAIN ON PAPER,22 X 33,THROUGH THE HOLE,,,,,,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,8
41,RED BK NIGHTFALL,Laur_REDBKNIGHTFALL.png,Image,,2,1,TRUE,TRUE,IN THE SUMMER HEAT,2000,TRUE,,2020,RED SPRAYPAINT ON VELLUM,RED SPRAYPAINT ON VELLUM ,36 x 74 IN,IN THE SHED,,,,,,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,8
42,URSULA UNDERGROUND 06,Laur_URSULAUNDERGROUND06.png,Image,,5,1,TRUE,TRUE,URSULA'S ARMOR ,300,TRUE,,2020,CHARCOAL ON PAPER,CHARCOAL ON PAPER,8 x 11 IN,UNDERGROUND,,,,,,,,,,,2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,8
43,Unbound,Lena_Chen_Unbound_10.jpg,Image,,1,1,TRUE,TRUE,"Unbound explores the inheritance of ancestral trauma. My great-great grandmother was the last woman in my family to have bound feet. At age four (the same age when girls begin the process of foot-binding), I spent six months living in my ancestral home in Kaiping, China, where I suffered a fracture to my left foot. I solicit men via Craigslist and Tinder for anonymous “foot worship” sessions in which they pay to rub, kiss, and lick my feet. I construct an altar to my great-great grandmother and invite audience members to sit with me inside a circle of rice and to trade foot massages as we share stories of family pain. Performed at performance space, Folkestone, UK, October 2019.",,TRUE,,2018,Photography,,,"London & Folkestone, UK",,"performance,photography",Unbound,,,Collaborators: Alexandra Bell & Jack Murphy,,,,"{foot worship,ancestral trauma}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,9
44,Starfire,Lena_Chen_STARFIRE-STILL-8.png,Image,,5,1,TRUE,TRUE,"In “Starfire”, I use menstruation as the basis for a feminist reenactment of the Holy Eucharist. I appear as the Scarlet Woman, who transforms the profane into the sacred by reimagining religious rituals from a feminist perspective. ",,TRUE,,2018,Music Video,,,"Berlin, Germany",,performance,,,,Collaborators: Molly Caitlin Baber,,,,"{ritual,blood,menstruation,occult}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,9
45,Nurture,Lena_Chen_Lena_Chen_Nurture.jpg,Image,,3,1,TRUE,FALSE,"Nurture presents motherhood as a durational performance and as an act of love and labor. In the role of the archetypal Mother, the artist offers her empathy and her body to the audience in an intimate, one-on-one interaction. Holding participants in her arms so that they may suckle from her breast, she plays a soundtrack of lullabies sung by mothers in different languages, while inviting them to discuss their thoughts about their mothers or motherhood. Performed at Tempting Failure Biennial of Performance Art and Noise, London, UK, July 2018.",,TRUE,,2018,Performance/Participatory Art,,,"London, UK",,"performance,photography",Nurture,,,Collaborators: Molly Caitlin Baber & Jack Murphy,,,,"{breastfeeding,motherhood,care work,performance art}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,9
46,Purify,Lena_Chen_Purify_2.jpg,Image,,4,2,TRUE,FALSE,"Rope, fire, blood, earth, wood, water, wax, metal. Audience members write down their fears and sins on slips of paper, which are tucked under ropes that bind my body. The papers are read aloud and burned as the artists shed their blood in a cleansing ritual. Performed at Gelegenheiten, Berlin, Germany, March 2019.",,TRUE,,2019,Performance/Participatory Art,,,"Berlin, Germany",Former Butcher Shop,performance,,,,"Collaborators: Zarahlena
Cristina Söderström Martos
Chandler Barnes (ropes/piercing)
Bommi Pelletiér (music) ",,,,"{ritual,shibari,rope bondage,blood}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,9
47,Altar to Song Yang,Lena_Chen_Altar_to_Yang_Song.jpg,Image,,6,1,TRUE,TRUE,"In collaboration with Red Canary Song, a grassroots organization which advocates and provides resources for Asian and migrant sex workers, I organized a ritual and temporary altar to honor a massage worker who died during a NYPD raid. The site was 302 Broome St, a former Asian massage parlor.",,TRUE,,2019,Participatory art/public installation,,,"New York City, USA",Former massage parlour,performance,,,,Collaborators: Red Canary Song,,,,"{ritual,sex work,vigil,site-specific}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,9
48,Starfire,Lena_Chen_STARFIRE-STILL-7.png,Image,,7,1,TRUE,TRUE,"In “Starfire”, I use menstruation as the basis for a feminist reenactment of the Holy Eucharist. I appear as the Scarlet Woman, who transforms the profane into the sacred by reimagining religious rituals from a feminist perspective. ",,TRUE,,2018,Music Video,,,"Berlin, Germany",,performance,,,,Collaborators: Molly Caitlin Baber,,,,"{ritual,blood,menstruation,occult}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,9
49,Play4UsNow,Lena_Chen_Play4UsNow.jpg,Image,,2,1,TRUE,TRUE,"A participatory online performance featuring an all-sex worker cast and crew which utilized audience members’ data as a form of intimacy and political critique. The multilayered performance begins at the first point of contact with our website (www.play4usnow.com), where users submit personal preferences and answer security questions in return for an invitation to the ""data dungeon"". Using the aesthetics of the underground BDSM dungeon and employing real-life sex workers impacted by data policy, the project engaged viewers to critically consider their experience of digital surveillance and privacy.",,TRUE,,2020,Performance/Participatory Art,,,Online,,"performance,participatory art",The Cyber & Material Character,,,Collaborators: Esben Holk & Stephanie Ballantine,,,,"{surveillance,sex work,BDSM,digital domination}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,9
50,Unbound,Lena_Chen_Unbound_3.jpg,Image,,8,2,TRUE,FALSE,"Unbound explores the inheritance of ancestral trauma. My great-great grandmother was the last woman in my family to have bound feet. At age four (the same age when girls begin the process of foot-binding), I spent six months living in my ancestral home in Kaiping, China, where I suffered a fracture to my left foot. I solicit men via Craigslist and Tinder for anonymous “foot worship” sessions in which they pay to rub, kiss, and lick my feet. I construct an altar to my great-great grandmother and invite audience members to sit with me inside a circle of rice and to trade foot massages as we share stories of family pain. Performed at performance space, Folkestone, UK, October 2019.",,TRUE,,2018,,,,"London & Folkestone, UK",,"performance,photography",Unbound,,,Collaborators: Alexandra Bell & Jack Murphy,,,,"{foot worship,ancestral trauma}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,9
51,Chantico 1,Lilith_1_Chantico.mp4,Video,https://vimeo.com/514146245/4ade0b258f,1,2,TRUE,FALSE,"Dia Dynasty is Chantico.                                                                                                                                                                                                                              She wears red and reaps Pleasure and Pain. Radiant Serpentine Grace. She Who Dwells in the House. Goddess of Fire and War. Guardian of animals, metals and minerals, Her Domain. She takes possession of Her Offering and makes Her mark on him, binding his soul to Her promise of protection and power.",,TRUE,,,video,Canon 7D,1min 02sec,New York,,erotic/occult/fetish art,Chantico,,english,Collaboration with Dia Dynasty,http://slutist.com/chantico/,,,"{bdsm, shamanatrix, ritual, sexmagick}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,10
52,The Chamber,Lilith_5_TheChamber.jpg,Image,,5,1,TRUE,FALSE,"You are entering The Chamber.                                                                                                                                                                                 When you are entering The Chamber your profane world is left behind.
You are now in an alternative universe,  where your obscure desires and fantasies become realiaty.
Are you ready?",,TRUE,,,photography,Canon 7D,,New York,,erotic/fetish art,The Chamber Series,,english,Collaboration with Marcelle Marais and Sheena.                                                                                                                                            Wardrobe Tableaux Vivants.,,,,"{bdsm, domination, submission, sexmagick}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,10
53,Human Flesh,Lilith_10_HumanFlesh.jpg,Image,,10,2,TRUE,FALSE,"Human Flesh

She was a a doomed angel with more love for humanity than even her immortal body could contain. Daily she would listen to the reverence of humankind and shower it with her otherworldly affection. On the day she burst, she could no longer hear their prayers. They had forgotten her. She condemned those mortals, and shed her ethereal form to reveal the fanatical, vengeful creature beneath. She could not die, so she traipsed the surface of the earth, wailing, mourning humankind’s unrequited love.

She was monstrous.",,TRUE,,2020,photography,Canon 7D,,New York,,erotic/identity/fetish art,Human Flesh,,english,Collaboration with Kathryn Kane. Wardrobe Lasegue.falret.,,,,"{bdsm, burlesque, religiousfanatism, gender}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,10
54,Chantico,Lilith_3_Chantico.jpg,Image,,3,1,TRUE,TRUE,"Dia Dynasty as Chantico. She wears red and reaps Pleasure and Pain. Radiant Serpentine Grace.                                                                                                                                                                                             She Who Dwells in the House. Goddess of Fire and War. Guardian of animals, metals and minerals, Her Domain. She takes possession of Her Offering and makes Her mark on him, binding his soul to Her promise of protection and power.",,TRUE,,,photography,Canon 7D,,New York,,erotic/occult/fetish art,Chantico,,english,Collaboration with Dia Dynasty,,,,"{bdsm, shamanatrix, sacred, ritual, sexmagick}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,10
55,Chantico 2,Lilith_2_Chantico.mp4,Video,https://vimeo.com/514146252/5139b1aa59,2,1,TRUE,TRUE,"Dia Dynasty as Chantico.                                                                                                                                                                                                  She wears red and reaps Pleasure and Pain. Radiant Serpentine Grace. She Who Dwells in the House. Goddess of Fire and War. Guardian of animals, metals and minerals, Her Domain. She takes possession of Her Offering and makes Her mark on him, binding his soul to Her promise of protection and power.",,TRUE,,,video,Canon 7D,1min 02sec,New York,,erotic/occult/fetish art,Chantico,,english,Collaboration with Dia Dynasty,,,,"{bdsm, shamanatrix, sacred, ritual, sexmagick}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,10
56,Human Flesh,Lilith_9_HumanFlesh.jpg,Image,,9,2,TRUE,FALSE,"Human Flesh

She was a a doomed angel with more love for humanity than even her immortal body could contain. Daily she would listen to the reverence of humankind and shower it with her otherworldly affection. On the day she burst, she could no longer hear their prayers. They had forgotten her. She condemned those mortals, and shed her ethereal form to reveal the fanatical, vengeful creature beneath. She could not die, so she traipsed the surface of the earth, wailing, mourning humankind’s unrequited love.

She was monstrous.",,TRUE,,2020,photography,Canon 7D,,New York,,erotic/identity/fetish art,Human Flesh,,english,Collaboration with Kathryn Kane. Wardrobe Lasegue.falret.,,,,"{bdsm, burlesque, religiousfanatism, gender}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,10
57,Human Flesh,Lilith_7_HumanFlesh.jpg,Image,,7,2,TRUE,FALSE,"Human Flesh

She was a a doomed angel with more love for humanity than even her immortal body could contain. Daily she would listen to the reverence of humankind and shower it with her otherworldly affection. On the day she burst, she could no longer hear their prayers. They had forgotten her. She condemned those mortals, and shed her ethereal form to reveal the fanatical, vengeful creature beneath. She could not die, so she traipsed the surface of the earth, wailing, mourning humankind’s unrequited love.

She was monstrous.",,TRUE,,2020,photography,Canon 7D,,New York,,erotic/identity/fetish art,Human Flesh,,english,Collaboration with Kathryn Kane. Wardrobe Lasegue.falret. ,,,,"{bdsm, burlesque, religiousfanatism, gender}",2021-02-19 01:48:30.391-05,2021-02-19 01:48:30.391-05,10
