id,title,media,sequence,privacy,canMarket,sfw,caption,price,bowAgreements,benefitting,year,medium,materials,dimensions,location,geo,genre,subset,references,languages,credits,pressLink,distributor,tags,createdAt,updatedAt,userId
11,MEATSPACE,,6,1,TRUE,FALSE,"Empress Wu's terrible utopia, where all subs are ripe for feasting.",,TRUE,,2019,photography,,,"New York, NY",,,,Frances Bacon's Figure with Meat,,"Photos by Lanee Bird, Makeup by Cass Raimundi",,,"{photograph,carnivore,SM,BDSM,pig}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,4
12,Veil Machine Presents: E-VICTION,,7,1,TRUE,TRUE,"E-Viction is a virtual arthouse / whore gallery event that existed for 12 hours before self-destructing. Log on and be seduced by our virtual peepshow where you’ll have intimate encounters with sex workers and artists making art and sex live on cam. Scroll through performers’ ads, shop art and sex objects at our E-Banned shop, learn about legislation that threatens sex workers and free speech online, join raunchy chat rooms, and protest digital gentrification. But be sure to tune in before it’s all gone at midnight. E-Viction is the only deplatforming you can prepare for in advance.",,TRUE,,2020,"performance,digital installation",,12 hour event,"New York, NY",US,"relational aesthetics,participatory art",,"On Multiculturalism and Desire, Meatspace","English,Spanish","Crew: Aarati Akkapeddi, Rena Li, Minxy Lopez, Samone, Urzulka, Abe, Shayla Lange, Lady Euphoria, Yves, Olive. E-Viction is produced by Veil Machine as part of the 2020 Rapid Response residency at Eyebeam and supported by Kink Out Events.",https://www.vice.com/en_us/article/jgxbag/sex-workers-earn-it-virtual-protest-e-viction,,"{sex work,performance,protest,event}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,4
13,Gxd is a Hooker and Heaven is a Cash Only Establishment,,1,1,TRUE,TRUE,A portrait of gxd,,TRUE,,2020,Mixed Media with Beeswax and 24K gold on birch,,"30"" x 60"" x 1.5""",Brooklyn,,,,,English/N/A,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,5
14,Shame [can be a void or a mirror],,8,1,TRUE,TRUE,"An altar for my brother, part of a series of meditations on death",,TRUE,,2020,Mixed Media with ashes and silver on birch,,"48"" round x 1.5""",Brooklyn,,,,,English/N/A,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,5
15,Death Fetish,,3,1,TRUE,TRUE,A part of a series of meditations on death,,TRUE,,2017,"Mixed Media with Milk,Goldleaf,Hair,and Resin on birch",,"48"" x 48"" x 2""",Chicago and Seattle,,,,,English/N/A,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,5
16,Tru Luv,,2,1,TRUE,TRUE,Self portrait,,TRUE,,2020,"Mixed Media with roses,blood and money on birch",,"24"" x 36"" x 1.5""",brooklyn,,,,,English/N/A,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,5
17,Maëva,,6,1,TRUE,TRUE,"A portrait of my neice, made during the 2020 BLM uprising",,TRUE,,2020,Mixed Media with Milk and Tiger Lily Pollen on Maple,,"15"" x 30"" x 1""",Brooklyn,,,,,English/N/A,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,5
18,Everywhere There Are Angels [birdshit and blood stains on pavement],,5,1,TRUE,TRUE,Made during the 2020 BLM uprising,,TRUE,,2020,"Mixed Media with debris,blood,and tobacco on birch",,"24"" x 48"" x 2""",Brooklyn,,,,,English/N/A,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,5
19,"Hunger [is a catalyst, not an excuse]",,7,1,TRUE,TRUE,A part of a series of meditations on death,,TRUE,,2018,"Mixed media with blood,spit,milk,and silver on birch",,"36"" round x 1.5""",Seattle and Brooklyn,,,,,English/N/A,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,5
20,Bloodshed in Heaven [the first brick],,4,1,TRUE,TRUE,"A dedication to our ancestors at Stonewall, made during the 2020 BLM uprising",,TRUE,,2020,Mixed Media with Milk and Resin on Birch,,"24"" x 24"" x 1.5""",Brooklyn,,,,,English/N/A,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,5
21,Incentive,,1,1,FALSE,FALSE,"BDSM ritual/ play still: a willing body in a hanging leather cage, and the possibility that reward might follow punishment",,TRUE,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,"{bondage,captive}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,6
22,Lunch Hour 1,,4,2,FALSE,FALSE,BDSM ritual/ play still: latex and power play,,TRUE,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,{latex},2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,6
23,Lunch Hour  4,,7,2,FALSE,FALSE,BDSM ritual/ play still: blind consumption ,,TRUE,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,6
24,The Doll 2,,3,2,FALSE,FALSE,BDSM ritual/ play still: lust gone feral,,TRUE,,2020,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,,,,"{leather fetishist,human doll}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,6
25,Lunch Hour 2,,5,2,FALSE,FALSE,BDSM ritual/ play still: latex and power play,,TRUE,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,{latex},2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,6
26,Lunch Hour 3,,6,2,FALSE,FALSE,BDSM ritual/ play still: blind consumption ,,TRUE,,2011,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,Photography by Natasha Gornik,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,6
27,The Doll 1,,2,2,FALSE,FALSE,BDSM ritual/ play still: a gender adventurer in a pink leather hood,,TRUE,,2020,"BDSM Ritual/ Play,Photography",,,NYC,,,,,,,,,"{leather fetishist,human doll}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,6
28,Self Portrait ,,1,1,TRUE,TRUE,"Thee Self Love Slut~ Juniper Juicy, has cum humanside 2 remind us all the power of play, pleasure, touching urself, & twerking like no1s watching~",,TRUE,,2020,photography,,N/A,,,,,,English,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,7
29,Window Troll,,8,1,TRUE,FALSE,Quarantine life has got us at the window hoping our neighbors are just as much voyeurs as we an exhibitionist ~ ,,TRUE,,2020,photography,,N/A,,,,,,English,Shot by ireallyhopeyouwin,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,7
30,Frosted Cake,,2,1,TRUE,FALSE,"Nothing better than a well frosted cake, & JJ has quite the method2 achieve this perfection~",,TRUE,,2019,photography & cakesits,,N/A,,,,,,English,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,7
31,Unboxing,,6,2,TRUE,FALSE,Answer our riddles 3 & maybe U can peak what's underneath our bridge~,,TRUE,,2020,photography,,N/A,,,,,,English,Shot by ireallyhopeyouwin,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,7
32,Grapejob,,7,2,TRUE,FALSE,"Size doesn't matter, its all about the vibe & the taste~ ",,TRUE,,2019,Soft food porn,,37 secs long,,,,,,English,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,7
33,Shower tease,,3,2,TRUE,FALSE,"As much as this troll fae loves a good mess, cleaning up can be quite fun 2~",,TRUE,,2019,"videography,solo erotic",,18 secs long,,,,,,English,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,7
34,A Mouthful,,10,1,TRUE,FALSE,Do U think U have what it takes 2 push us 2 make this kinda mess?,,TRUE,,2019,photography,,N/A,,,,,,English,Shot by 1000EyesPhotography,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,7
35,Bedtwerk,,9,2,TRUE,FALSE,Just showing off our natural talent& biggest ASSet ~ ,,TRUE,,2020,"Videography,dance",,1:03 long,,,,,,English & Swahili,Song 5 Fingers by K W A M E & Sho Madjozi,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,7
36,Vday Treat,,4,1,TRUE,TRUE,"Love cums in many forms, do u dare explore what we offer?~ ",,TRUE,,2019,photography,,N/A,,,,,,English,Shot by 1000EyesPhotography,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,7
37,Performance ,,5,1,TRUE,TRUE,"Once upon a time, we performed live in bars ~ This is just a smalll snippet of that past life~",,TRUE,,2019,drag,,36 secs long,,,,,,English,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,7
38,MUDSKY 02,,1,1,TRUE,TRUE,NIGHT OF THE HUNTER IS DEAD,300,TRUE,,2020,MUD ON PAPER,MUD ON PAPER,9 x 11 IN,IN THE WOODS,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,8
39,RED LAYLA ,,3,1,TRUE,TRUE,NOT A GHOST ,2000,TRUE,,2020,RED SPRAYPAINT ON VELLUM,RED SPRAYPAINT ON VELLUM ,36 x 74 IN,BY THE LAKE,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,8
40,COLD KIL NIGHT 03,,6,1,TRUE,TRUE,FELL FROM THEIR BODY ,,TRUE,,2020,VIDEO,VIDEO,WEB VERSION 640 X360,TAKEN BY THE KIL ,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,8
41,URSULA,,7,1,TRUE,TRUE,URSULA EVICTION PERFORMANCE AFTERMATH,,TRUE,,2020,"FISHNETS,PAINT,MUD,BLOOD,SHOE GREASE,WAX,CLAY,RAZORS,FLOWERS AND CHARCOAL ON CANVAS STRETCHED ON PLYWOOD","FISHNETS, PAINT, MUD, BLOOD, SHOE GREASE, WAX, CLAY, RAZORS, FLOWERS AND CHARCOAL ON CANVAS STRETCHED ON PLYWOOD",4FT X 8 FT,ON THIN ICE,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,8
42,TREE,,4,1,TRUE,TRUE,INSIDE OF A CUT DOWN TREE,666,TRUE,,2020,FIRE PIT COALS AND RAIN ON PAPER,FIRE PIT COALS AND RAIN ON PAPER,22 X 33,THROUGH THE HOLE,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,8
43,RED BK NIGHTFALL,,2,1,TRUE,TRUE,IN THE SUMMER HEAT,2000,TRUE,,2020,RED SPRAYPAINT ON VELLUM,RED SPRAYPAINT ON VELLUM ,36 x 74 IN,IN THE SHED,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,8
44,URSULA UNDERGROUND 06,,5,1,TRUE,TRUE,URSULA'S ARMOR ,300,TRUE,,2020,CHARCOAL ON PAPER,CHARCOAL ON PAPER,8 x 11 IN,UNDERGROUND,,,,,,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,8
45,Unbound,,1,1,TRUE,TRUE,"Unbound explores the inheritance of ancestral trauma. My great-great grandmother was the last woman in my family to have bound feet. At age four (the same age when girls begin the process of foot-binding), I spent six months living in my ancestral home in Kaiping, China, where I suffered a fracture to my left foot. I solicit men via Craigslist and Tinder for anonymous “foot worship” sessions in which they pay to rub, kiss, and lick my feet. I construct an altar to my great-great grandmother and invite audience members to sit with me inside a circle of rice and to trade foot massages as we share stories of family pain. Performed at performance space, Folkestone, UK, October 2019.",,TRUE,,2018,Photography,,,"London & Folkestone, UK",,"performance,photography",Unbound,,,Collaborators: Alexandra Bell & Jack Murphy,,,"{foot worship,ancestral trauma}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,9
46,Starfire,,5,1,TRUE,TRUE,"In “Starfire”, I use menstruation as the basis for a feminist reenactment of the Holy Eucharist. I appear as the Scarlet Woman, who transforms the profane into the sacred by reimagining religious rituals from a feminist perspective. ",,TRUE,,2018,Music Video,,,"Berlin, Germany",,performance,,,,Collaborators: Molly Caitlin Baber,,,"{ritual,blood,menstruation,occult}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,9
47,Nurture,,3,1,TRUE,FALSE,"Nurture presents motherhood as a durational performance and as an act of love and labor. In the role of the archetypal Mother, the artist offers her empathy and her body to the audience in an intimate, one-on-one interaction. Holding participants in her arms so that they may suckle from her breast, she plays a soundtrack of lullabies sung by mothers in different languages, while inviting them to discuss their thoughts about their mothers or motherhood. Performed at Tempting Failure Biennial of Performance Art and Noise, London, UK, July 2018.",,TRUE,,2018,Performance/Participatory Art,,,"London, UK",,"performance,photography",Nurture,,,Collaborators: Molly Caitlin Baber & Jack Murphy,,,"{breastfeeding,motherhood,care work,performance art}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,9
48,Purify,,4,2,TRUE,FALSE,"Rope, fire, blood, earth, wood, water, wax, metal. Audience members write down their fears and sins on slips of paper, which are tucked under ropes that bind my body. The papers are read aloud and burned as the artists shed their blood in a cleansing ritual. Performed at Gelegenheiten, Berlin, Germany, March 2019.",,TRUE,,2019,Performance/Participatory Art,,,"Berlin, Germany",Former Butcher Shop,performance,,,,"Collaborators: Zarahlena
Cristina Söderström Martos
Chandler Barnes (ropes/piercing)
Bommi Pelletiér (music) ",,,"{ritual,shibari,rope bondage,blood}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,9
49,Altar to Song Yang,,6,1,TRUE,TRUE,"In collaboration with Red Canary Song, a grassroots organization which advocates and provides resources for Asian and migrant sex workers, I organized a ritual and temporary altar to honor a massage worker who died during a NYPD raid. The site was 302 Broome St, a former Asian massage parlor.",,TRUE,,2019,Participatory art/public installation,,,"New York City, USA",Former massage parlour,performance,,,,Collaborators: Red Canary Song,,,"{ritual,sex work,vigil,site-specific}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,9
50,Starfire,,7,1,TRUE,TRUE,"In “Starfire”, I use menstruation as the basis for a feminist reenactment of the Holy Eucharist. I appear as the Scarlet Woman, who transforms the profane into the sacred by reimagining religious rituals from a feminist perspective. ",,TRUE,,2018,Music Video,,,"Berlin, Germany",,performance,,,,Collaborators: Molly Caitlin Baber,,,"{ritual,blood,menstruation,occult}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,9
51,Play4UsNow,,2,1,TRUE,TRUE,"A participatory online performance featuring an all-sex worker cast and crew which utilized audience members’ data as a form of intimacy and political critique. The multilayered performance begins at the first point of contact with our website (www.play4usnow.com), where users submit personal preferences and answer security questions in return for an invitation to the ""data dungeon"". Using the aesthetics of the underground BDSM dungeon and employing real-life sex workers impacted by data policy, the project engaged viewers to critically consider their experience of digital surveillance and privacy.",,TRUE,,2020,Performance/Participatory Art,,,Online,,"performance,participatory art",The Cyber & Material Character,,,Collaborators: Esben Holk & Stephanie Ballantine,,,"{surveillance,sex work,BDSM,digital domination}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,9
52,Unbound,,8,2,TRUE,FALSE,"Unbound explores the inheritance of ancestral trauma. My great-great grandmother was the last woman in my family to have bound feet. At age four (the same age when girls begin the process of foot-binding), I spent six months living in my ancestral home in Kaiping, China, where I suffered a fracture to my left foot. I solicit men via Craigslist and Tinder for anonymous “foot worship” sessions in which they pay to rub, kiss, and lick my feet. I construct an altar to my great-great grandmother and invite audience members to sit with me inside a circle of rice and to trade foot massages as we share stories of family pain. Performed at performance space, Folkestone, UK, October 2019.",,TRUE,,2018,,,,"London & Folkestone, UK",,"performance,photography",Unbound,,,Collaborators: Alexandra Bell & Jack Murphy,,,"{foot worship,ancestral trauma}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,9
53,Chantico,,1,2,TRUE,FALSE,"Dia Dynasty is Chantico.                                                                                                                                                                                                                              She wears red and reaps Pleasure and Pain. Radiant Serpentine Grace. She Who Dwells in the House. Goddess of Fire and War. Guardian of animals, metals and minerals, Her Domain. She takes possession of Her Offering and makes Her mark on him, binding his soul to Her promise of protection and power.",,TRUE,,,video,Canon 7D,1min 02sec,New York,,erotic/occult/fetish art,Chantico,,english,Collaboration with Dia Dynasty,http://slutist.com/chantico/,,"{bdsm, shamanatrix, ritual, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
54,The Chamber,,5,1,TRUE,FALSE,"You are entering The Chamber.                                                                                                                                                                                 When you are entering The Chamber your profane world is left behind.
You are now in an alternative universe,  where your obscure desires and fantasies become realiaty.
Are you ready?",,TRUE,,,photography,Canon 7D,,New York,,erotic/fetish art,The Chamber Series,,english,Collaboration with Marcelle Marais and Sheena.                                                                                                                                            Wardrobe Tableaux Vivants.,,,"{bdsm, domination, submission, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
55,Human Flesh,,10,2,TRUE,FALSE,"Human Flesh

She was a a doomed angel with more love for humanity than even her immortal body could contain. Daily she would listen to the reverence of humankind and shower it with her otherworldly affection. On the day she burst, she could no longer hear their prayers. They had forgotten her. She condemned those mortals, and shed her ethereal form to reveal the fanatical, vengeful creature beneath. She could not die, so she traipsed the surface of the earth, wailing, mourning humankind’s unrequited love.

She was monstrous.",,TRUE,,2020,photography,Canon 7D,,New York,,erotic/identity/fetish art,Human Flesh,,english,Collaboration with Kathryn Kane. Wardrobe Lasegue.falret.,,,"{bdsm, burlesque, religiousfanatism, gender}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
56,Chantico,,3,1,TRUE,TRUE,"Dia Dynasty as Chantico. She wears red and reaps Pleasure and Pain. Radiant Serpentine Grace.                                                                                                                                                                                             She Who Dwells in the House. Goddess of Fire and War. Guardian of animals, metals and minerals, Her Domain. She takes possession of Her Offering and makes Her mark on him, binding his soul to Her promise of protection and power.",,TRUE,,,photography,Canon 7D,,New York,,erotic/occult/fetish art,Chantico,,english,Collaboration with Dia Dynasty,,,"{bdsm, shamanatrix, sacred, ritual, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
57,Chantico,,2,1,TRUE,TRUE,"Dia Dynasty as Chantico.                                                                                                                                                                                                  She wears red and reaps Pleasure and Pain. Radiant Serpentine Grace. She Who Dwells in the House. Goddess of Fire and War. Guardian of animals, metals and minerals, Her Domain. She takes possession of Her Offering and makes Her mark on him, binding his soul to Her promise of protection and power.",,TRUE,,,video,Canon 7D,1min 02sec,New York,,erotic/occult/fetish art,Chantico,,english,Collaboration with Dia Dynasty,,,"{bdsm, shamanatrix, sacred, ritual, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
58,Human Flesh,,9,2,TRUE,FALSE,"Human Flesh

She was a a doomed angel with more love for humanity than even her immortal body could contain. Daily she would listen to the reverence of humankind and shower it with her otherworldly affection. On the day she burst, she could no longer hear their prayers. They had forgotten her. She condemned those mortals, and shed her ethereal form to reveal the fanatical, vengeful creature beneath. She could not die, so she traipsed the surface of the earth, wailing, mourning humankind’s unrequited love.

She was monstrous.",,TRUE,,2020,photography,Canon 7D,,New York,,erotic/identity/fetish art,Human Flesh,,english,Collaboration with Kathryn Kane. Wardrobe Lasegue.falret.,,,"{bdsm, burlesque, religiousfanatism, gender}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
59,Human Flesh,,7,2,TRUE,FALSE,"Human Flesh

She was a a doomed angel with more love for humanity than even her immortal body could contain. Daily she would listen to the reverence of humankind and shower it with her otherworldly affection. On the day she burst, she could no longer hear their prayers. They had forgotten her. She condemned those mortals, and shed her ethereal form to reveal the fanatical, vengeful creature beneath. She could not die, so she traipsed the surface of the earth, wailing, mourning humankind’s unrequited love.

She was monstrous.",,TRUE,,2020,photography,Canon 7D,,New York,,erotic/identity/fetish art,Human Flesh,,english,Collaboration with Kathryn Kane. Wardrobe Lasegue.falret. ,,,"{bdsm, burlesque, religiousfanatism, gender}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
60,The Chamber,,6,1,TRUE,FALSE,"You are entering The Chamber.                                                                                                                                                                                 When you are entering The Chamber your profane world is left behind.
You are now in an alternative universe,  where your obscure desires and fantasies become realiaty.
Are you ready?""",,TRUE,,,photography,Canon 7D,,New York,,erotic/fetish art,The Chamber Series,,english,Collaboration with Marcelle Marais and Sheena.                                                                                                                                            Wardrobe Tableaux Vivants.,,,"{bdsm, domination, submission, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
61,Human Flesh,,8,2,TRUE,FALSE,"Human Flesh

She was a a doomed angel with more love for humanity than even her immortal body could contain. Daily she would listen to the reverence of humankind and shower it with her otherworldly affection. On the day she burst, she could no longer hear their prayers. They had forgotten her. She condemned those mortals, and shed her ethereal form to reveal the fanatical, vengeful creature beneath. She could not die, so she traipsed the surface of the earth, wailing, mourning humankind’s unrequited love.

She was monstrous.",,TRUE,,2020,photography,Canon 7D,,New York,,erotic/identity/fetish art,Human Flesh,,english,Collaboration with Kathryn Kane. Wardrobe Lasegue.falret.,,,"{bdsm, burlesque, religiousfanatism, gender}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
62,Chantico,,4,1,TRUE,TRUE,"Dia Dynasty as Chantico. She wears red and reaps Pleasure and Pain. Radiant Serpentine Grace. She Who Dwells in the House. Goddess of Fire and War. Guardian of animals, metals and minerals, Her Domain. She takes possession of Her Offering and makes Her mark on him, binding his soul to Her promise of protection and power.",,TRUE,,,photography,Canon 7D,,New York,,erotic/occult/fetish art,Chantico,,english,Collaboration with Dia Dynasty,,,"{bdsm, shamanatrix, sacred, ritual, sexmagick}",2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,10
63,Homunculus,,2,1,TRUE,TRUE,"How the body is viewed informs us on the ways that the dynamics of power alter relationships between people and the individual’s object-subject-hood. Objectification is often a process that female bodies are subjected to, losing agency and empathy in the process. By abstracting and deconstructing the male form, I remove its usual role as “subject,” allowing for a new context in which to view the male body. 
",1500,TRUE,,2020,painting,oil on canvas,24”x24” in,,,,,,English,,,,,2021-02-18 12:56:23.309-05,2021-02-18 12:56:23.309-05,11
